ticker,spot,vol_30d,corr_3m,corr_6m,corr_12m,put_pct_3m,put_pct_6m,put_pct_12m,hedge_cost_3m,hedge_cost_6m,hedge_cost_12m,ytd_return,1y_return,score_long,score_short
WEAT,21.9900,0.230343,-0.333208,-0.222495,-0.161416,0.054321,0.071063,0.089653,13580.28,17765.65,22413.18,0.099500,-0.167045,0.523473,0.237838
COLD,13.0500,0.533963,-0.307112,-0.221788,-0.145279,0.135206,0.182186,0.239665,33801.39,45546.42,59916.29,0.008501,-0.448893,0.328181,0.099033
VALE,16.9900,0.426245,-0.304199,-0.209199,-0.117132,0.107603,0.144830,0.190257,26900.82,36207.49,47564.27,0.281297,0.564174,0.407240,0.188954
RVMD,101.6200,0.588027,-0.302367,-0.201278,-0.130745,0.148738,0.200328,0.263345,37184.41,50081.92,65836.23,0.286004,2.444746,0.280541,0.062825
XLY,115.4200,0.163566,-0.268805,-0.133848,-0.003902,0.035904,0.045565,0.055027,8976.05,11391.24,13756.75,-0.024757,0.286286,0.479239,0.283901
EWT,75.0700,0.239707,-0.256808,-0.150731,-0.019514,0.056919,0.074677,0.094606,14229.67,18669.26,23651.41,0.159024,0.714817,0.479268,0.281742
EWZ,38.6400,0.271410,-0.253101,-0.198943,-0.117158,0.065731,0.086962,0.111496,16432.77,21740.42,27873.88,0.200000,0.334666,0.494800,0.265135
EWY,147.5400,0.365768,-0.236410,-0.180694,-0.101806,0.091636,0.122965,0.160867,22908.97,30741.29,40216.68,0.443357,1.354589,0.432626,0.259852
REXR,37.6500,0.282502,-0.232578,-0.145180,0.010696,0.068820,0.091275,0.117443,17205.01,22818.73,29360.86,-0.035357,-0.226326,0.468623,0.290919
EEM,61.5000,0.185036,-0.211733,-0.158335,-0.054877,0.041800,0.053697,0.065997,10450.03,13424.28,16499.14,0.093528,0.596682,0.473485,0.289143
BHP,83.0100,0.356092,-0.205060,-0.109792,-0.035114,0.089040,0.119389,0.156020,22260.12,29847.33,39004.99,0.344074,0.537664,0.415248,0.292757
PLAY,14.2400,0.671095,-0.203341,-0.051964,0.033926,0.169167,0.227522,0.298479,42291.70,56880.39,74619.76,-0.164319,-0.767700,0.153049,0.062575
HYG,80.2800,0.025916,-0.201272,-0.116788,0.014764,0.001407,0.000911,0.000372,351.80,227.72,92.93,0.000085,0.164142,0.454615,0.301896
IBKR,71.6700,0.454980,-0.201250,-0.150214,-0.037176,0.115060,0.154971,0.203763,28764.94,38742.85,50940.73,0.067187,1.611368,0.341981,0.208856
MOO,85.2000,0.142168,-0.197685,-0.149723,-0.052366,0.030065,0.037554,0.044322,7516.20,9388.39,11080.48,0.156352,0.254095,0.468886,0.294654
LAC,5.1200,0.821616,-0.197128,-0.134242,-0.107808,0.205166,0.274892,0.358657,51291.57,68723.06,89664.36,0.073375,-0.057090,0.080199,-0.068845
RIO,99.6100,0.364450,-0.195601,-0.097123,-0.039876,0.091283,0.122480,0.160210,22820.82,30619.93,40052.38,0.223259,0.747482,0.404751,0.289839
CMC,73.6000,0.307082,-0.192032,-0.010454,0.021539,0.075668,0.100844,0.130661,18916.97,25211.06,32665.16,0.027653,0.423947,0.431088,0.321909
NTRA,200.1700,0.436634,-0.191971,-0.050204,-0.008759,0.110308,0.148513,0.195171,27576.97,37128.28,48792.66,-0.125284,1.218934,0.336284,0.243485
DBA,25.9900,0.049246,-0.186283,-0.066815,-0.024992,0.006010,0.005875,0.004784,1502.59,1468.75,1196.00,0.016823,0.248469,0.449775,0.311591
EFA,103.3000,0.145041,-0.174679,-0.092245,0.017168,0.030846,0.038623,0.045743,7711.59,9655.69,11435.87,0.064510,0.418301,0.447537,0.315957
STLD,201.5100,0.399454,-0.171942,-0.038334,0.002224,0.100580,0.135239,0.177414,25144.91,33809.70,44353.39,0.144553,0.592697,0.357862,0.280836
LIT,75.2200,0.331179,-0.167968,-0.073984,-0.025025,0.082294,0.110061,0.143314,20573.62,27515.30,35828.60,0.135054,0.669274,0.419679,0.313438
SOYB,23.6900,0.092695,-0.166615,-0.089221,-0.033946,0.016821,0.019670,0.021075,4205.28,4917.41,5268.64,0.085701,-0.026705,0.450278,0.313415
VWO,57.2400,0.150674,-0.164903,-0.120497,-0.028514,0.032381,0.040725,0.048545,8095.22,10181.25,12136.33,0.042054,0.468308,0.453850,0.309547
CLF,11.4000,0.835169,-0.159340,-0.019629,0.019399,0.208347,0.279044,0.363868,52086.65,69760.94,90967.10,-0.161765,-0.441724,0.040839,-0.034907
RJF,154.4200,0.359140,0.157907,0.131646,0.130845,0.089859,0.120518,0.157552,22464.84,30129.57,39387.88,-0.056113,0.312840,0.269247,0.433863
IONS,81.9600,0.296864,0.156728,-0.057201,-0.000255,0.072823,0.096870,0.125170,18205.84,24217.38,31292.58,0.028744,0.826610,0.358934,0.400087
PRCT,25.9000,0.729229,0.155963,0.176450,0.132113,0.183221,0.246097,0.322233,45805.18,61524.37,80558.32,-0.157997,-0.458838,-0.025192,0.152147
GMED,93.8000,0.237097,0.154494,0.121684,0.083109,0.056194,0.073669,0.093223,14048.62,18417.25,23305.87,0.074456,0.699275,0.325360,0.435734
RRC,41.8800,0.373085,-0.148147,-0.152443,-0.090266,0.093590,0.125654,0.164503,23397.59,31413.39,41125.65,0.186402,0.320294,0.399310,0.281451
CLSK,10.5500,1.128265,-0.146308,-0.122351,-0.068893,0.274808,0.364529,0.468761,68701.98,91132.15,117190.24,-0.086580,-0.359441,0.061819,-0.061819
MIDD,164.9900,0.294414,0.138903,0.082681,0.068459,0.072140,0.095915,0.123850,18035.06,23978.63,30962.60,0.094316,0.071364,0.335581,0.423529
BITF,2.1500,1.078686,-0.137869,-0.098930,-0.066258,0.263869,0.350629,0.452033,65967.23,87657.25,113008.20,-0.173077,-0.182510,0.055933,-0.055933
WES,42.0900,0.228688,0.136133,0.050729,0.001269,0.053862,0.070424,0.088779,13465.57,17606.12,22194.79,0.083448,0.493319,0.348912,0.412451
QQQ,608.0900,0.171939,-0.134818,-0.072673,0.011916,0.038200,0.048727,0.059282,9549.95,12181.72,14820.40,-0.008204,0.384636,0.434890,0.328062
VRNS,23.0800,0.813977,-0.134485,-0.117294,-0.069479,0.203369,0.272544,0.355706,50842.34,68136.06,88926.41,-0.279650,-0.542880,0.058163,-0.043754
WOOD,76.5600,0.209102,-0.133713,-0.085639,0.008921,0.048440,0.062893,0.078492,12110.06,15723.29,19622.92,0.050782,0.003682,0.436362,0.325599
PATK,123.8200,0.337800,-0.132748,-0.054499,-0.008053,0.084097,0.112559,0.146725,21024.23,28139.66,36681.34,0.125117,0.588406,0.400901,0.326808
MARA,9.4500,1.109281,-0.132208,-0.111002,-0.044654,0.270634,0.359233,0.462403,67658.42,89808.20,115600.81,-0.046418,-0.632439,0.054168,-0.054168
XLB,53.2500,0.184431,-0.131903,-0.050055,0.021368,0.041634,0.053467,0.065685,10408.38,13366.71,16421.19,0.154597,0.248229,0.429669,0.332975
CBOE,297.4900,0.219424,-0.130557,-0.106519,-0.038562,0.051296,0.066858,0.083902,12823.99,16714.42,20975.42,0.201985,0.598559,0.443299,0.318352
XLP,88.7100,0.138057,-0.129711,-0.095703,-0.023181,0.028948,0.036028,0.042298,7237.10,9007.04,10574.59,0.141846,0.257304,0.440902,0.322699
CFLT,30.7000,0.033465,0.128218,0.056926,0.060818,0.002696,0.002151,0.001258,674.11,537.82,314.44,0.019595,-0.110918,0.342666,0.416017
IREN,41.3900,1.170409,-0.125133,-0.201347,-0.143920,0.284012,0.376170,0.482667,71003.02,94042.49,120666.80,-0.030679,6.261404,0.075877,-0.075877
SQM,75.6300,0.528365,-0.125121,-0.031426,-0.005759,0.133793,0.180286,0.237174,33448.26,45071.45,59293.47,0.084612,0.578417,0.244535,0.191395
BXP,56.2400,0.379340,-0.124403,-0.091245,-0.022752,0.095256,0.127942,0.167592,23813.94,31985.38,41897.91,-0.170746,-0.049576,0.372443,0.298318
PICK,64.3600,0.355101,-0.123738,-0.071507,-0.016802,0.088774,0.119021,0.155521,22193.44,29755.37,38880.17,0.229183,0.730724,0.388140,0.321458
