rank,ticker,spot,vol_30d,corr_3m,corr_6m,corr_12m,put_pct_3m,put_pct_6m,put_pct_12m,hedge_cost_3m,1y_return,score_long
1,WEAT,21.9900,0.230343,-0.333208,-0.222495,-0.161416,0.054321,0.071063,0.089653,13580.28,-0.167045,0.523473
2,EWZ,38.6400,0.271410,-0.253101,-0.198943,-0.117158,0.065731,0.086962,0.111496,16432.77,0.334666,0.494800
3,EWT,75.0700,0.239707,-0.256808,-0.150731,-0.019514,0.056919,0.074677,0.094606,14229.67,0.714817,0.479268
4,XLY,115.4200,0.163566,-0.268805,-0.133848,-0.003902,0.035904,0.045565,0.055027,8976.05,0.286286,0.479239
5,EEM,61.5000,0.185036,-0.211733,-0.158335,-0.054877,0.041800,0.053697,0.065997,10450.03,0.596682,0.473485
6,MOO,85.2000,0.142168,-0.197685,-0.149723,-0.052366,0.030065,0.037554,0.044322,7516.20,0.254095,0.468886
7,REXR,37.6500,0.282502,-0.232578,-0.145180,0.010696,0.068820,0.091275,0.117443,17205.01,-0.226326,0.468623
8,HYG,80.2800,0.025916,-0.201272,-0.116788,0.014764,0.001407,0.000911,0.000372,351.80,0.164142,0.454615
9,VWO,57.2400,0.150674,-0.164903,-0.120497,-0.028514,0.032381,0.040725,0.048545,8095.22,0.468308,0.453850
10,SOYB,23.6900,0.092695,-0.166615,-0.089221,-0.033946,0.016821,0.019670,0.021075,4205.28,-0.026705,0.450278
