rank,ticker,spot,vol_30d,corr_3m,corr_6m,corr_12m,put_pct_3m,put_pct_6m,put_pct_12m,hedge_cost_3m,1y_return,score_short
1,GMED,93.8000,0.237097,0.154494,0.121684,0.083109,0.056194,0.073669,0.093223,14048.62,0.699275,0.435734
2,RJF,154.4200,0.359140,0.157907,0.131646,0.130845,0.089859,0.120518,0.157552,22464.84,0.312840,0.433863
3,MIDD,164.9900,0.294414,0.138903,0.082681,0.068459,0.072140,0.095915,0.123850,18035.06,0.071364,0.423529
4,PODD,245.4500,0.326937,0.098833,0.091118,0.130614,0.081136,0.108453,0.141115,20283.91,0.462579,0.420508
5,CFLT,30.7000,0.033465,0.128218,0.056926,0.060818,0.002696,0.002151,0.001258,674.11,-0.110918,0.416017
6,RBC,584.8900,0.186763,0.041891,0.145666,0.115679,0.042276,0.054355,0.066887,10568.95,1.201317,0.415182
7,URBN,65.6900,0.358703,0.088730,0.117467,0.111672,0.089742,0.120357,0.157332,22435.52,0.523776,0.412875
8,WES,42.0900,0.228688,0.136133,0.050729,0.001269,0.053862,0.070424,0.088779,13465.57,0.493319,0.412451
9,IWO,338.5100,0.212822,0.048807,0.085639,0.084596,0.049469,0.064321,0.080438,12367.22,0.277437,0.404433
10,GGG,94.8200,0.188471,0.040075,0.083942,0.075503,0.042746,0.055005,0.067769,10686.55,0.063025,0.401429
