ticker,spot,vol_30d,corr_3m,corr_6m,corr_12m,put_pct_3m,put_pct_6m,put_pct_12m,hedge_cost_3m,hedge_cost_6m,hedge_cost_12m,ytd_return,1y_return,score_long,score_short
GTLB,25.9700,0.690075,0.355927,0.196924,0.074810,0.173777,0.233626,0.306308,43444.15,58406.58,76576.90,-0.282200,-0.634791,-0.042696,0.229306
XLF,51.8700,0.194590,0.345314,0.186955,0.041258,0.044433,0.057339,0.070935,11108.22,14334.80,17733.82,-0.055707,0.332121,0.272689,0.489684
BILL,43.2000,1.135880,0.337247,0.189123,0.085405,0.276477,0.366644,0.471295,69119.37,91660.99,117823.75,-0.145570,-0.323944,-0.121221,0.121221
VRNS,22.7200,0.810440,0.331811,0.071033,0.051303,0.202536,0.271455,0.354335,50634.07,67863.77,88583.82,-0.290886,-0.549653,-0.098738,0.114562
DIA,494.8200,0.136558,0.321717,0.133324,-0.013378,0.028542,0.035473,0.041564,7135.45,8868.30,10390.89,0.024779,0.307415,0.292720,0.470901
SF,115.0300,0.322526,0.312110,0.178821,0.038114,0.079927,0.106776,0.138816,19981.87,26693.89,34703.96,-0.103499,0.564754,0.262436,0.477781
CAVA,85.6700,0.868852,0.310093,0.165928,0.079690,0.216209,0.289283,0.376677,54052.17,72320.80,94169.13,0.414864,0.696436,-0.110381,0.110381
COIN,183.9400,0.965032,0.304626,0.125584,0.026480,0.238332,0.317916,0.412150,59583.07,79479.04,103037.38,-0.222340,-0.051562,-0.097642,0.097642
DT,35.1400,0.501565,0.294963,0.173047,0.101619,0.127000,0.171132,0.225139,31749.92,42782.90,56284.79,-0.170248,-0.290531,0.119015,0.358734
PIPR,311.0000,0.502796,0.291036,0.156122,0.023339,0.127313,0.171554,0.225696,31828.20,42888.54,56423.96,-0.111352,0.746019,0.129401,0.346424
PCOR,52.8000,0.655576,0.289166,0.126802,0.023592,0.165382,0.222501,0.292024,41345.46,55625.14,73006.04,-0.246145,-0.290132,0.016026,0.223368
ARKK,73.5400,0.387987,0.286449,0.089631,-0.040010,0.097550,0.131089,0.171834,24387.55,32772.37,42958.57,-0.060912,0.468450,0.237424,0.419536
VUG,470.3200,0.174564,0.279049,0.093259,-0.026842,0.038921,0.049721,0.060622,9730.14,12430.20,15155.48,-0.032661,0.405200,0.310378,0.452512
SPY,693.1500,0.126331,0.275441,0.079744,-0.039403,0.025776,0.031708,0.036599,6444.03,7926.88,9149.63,0.014608,0.403754,0.314987,0.448750
XLK,143.0100,0.247981,0.269699,0.101553,-0.011459,0.059216,0.077876,0.098996,14804.00,19469.09,24749.10,-0.008940,0.410168,0.308857,0.451880
NCNO,15.8100,0.617984,0.266867,0.168844,0.092000,0.156154,0.210226,0.276183,39038.45,52556.55,69045.81,-0.358621,-0.470529,0.037332,0.259819
MDB,314.9900,0.667125,0.266349,0.173453,0.084309,0.168200,0.226240,0.296832,42049.96,56559.89,74208.08,-0.211835,-0.301264,-0.000186,0.221886
HOOD,77.5300,0.816596,0.260473,0.162880,0.034123,0.203986,0.273350,0.356719,50996.46,68337.49,89179.74,-0.327055,3.973060,-0.092963,0.106324
HUBS,245.7000,0.831793,0.257784,0.164098,0.078337,0.207555,0.278011,0.362574,51888.84,69502.84,90643.38,-0.357193,-0.595196,-0.096894,0.104177
TENB,19.0000,0.649785,0.256927,0.158127,0.056641,0.163966,0.220620,0.289603,40991.45,55155.02,72400.73,-0.164100,-0.598309,0.020522,0.227752
HLI,165.9900,0.312233,0.255940,0.096888,0.007095,0.077094,0.102833,0.133400,19273.50,25708.21,33349.99,-0.058693,0.304014,0.300238,0.448480
XLC,116.5000,0.153125,0.251038,0.062174,-0.031764,0.033050,0.041642,0.049771,8262.40,10410.56,12442.64,-0.003422,0.517541,0.322766,0.440585
PJT,149.2900,0.373433,0.250220,0.110266,0.019535,0.093683,0.125781,0.164675,23420.81,31445.30,41168.77,-0.119441,0.458433,0.249054,0.431150
ESTC,58.0000,0.600764,0.249408,0.149735,0.055764,0.151898,0.204549,0.268827,37974.44,51137.33,67206.84,-0.200661,-0.556236,0.061459,0.262236
XLP,89.0100,0.130666,-0.247834,-0.148270,-0.110461,0.026947,0.033299,0.038692,6736.66,8324.81,9673.11,0.145707,0.262233,0.487091,0.276602
QQQ,616.6800,0.171404,0.246426,0.056979,-0.044002,0.038053,0.048525,0.059009,9513.30,12131.18,14752.29,0.005806,0.428223,0.325729,0.437235
MSTR,135.6500,1.128303,0.245611,0.082612,0.037830,0.274816,0.364539,0.468774,68704.09,91134.83,117193.45,-0.136867,0.703119,-0.077577,0.077577
OKTA,73.0050,0.539277,0.244776,0.155962,0.007269,0.136545,0.183986,0.242023,34136.13,45996.38,60505.79,-0.127152,-0.154252,0.114157,0.304788
LPLA,318.4700,0.488834,0.241477,0.176668,0.106605,0.123754,0.166747,0.219357,30938.42,41686.86,54839.21,-0.119349,0.198305,0.141306,0.356366
NVCR,14.9900,1.119451,0.239406,0.201238,0.072173,0.272872,0.362074,0.465816,68218.02,90518.47,116454.12,0.142530,0.006040,-0.097254,0.097254
SHAK,92.1300,0.439674,0.239314,0.169578,0.064753,0.111097,0.149587,0.196602,27774.32,37396.77,49150.39,0.103750,-0.088994,0.185744,0.389225
RJF,158.3400,0.354891,0.236366,0.134841,0.030518,0.088717,0.118944,0.155415,22179.33,29735.90,38853.73,-0.032152,0.371354,0.262598,0.447337
DDOG,110.3300,0.776165,0.234098,0.123316,0.058861,0.194428,0.260835,0.340937,48607.09,65208.82,85234.22,-0.175226,-0.147043,-0.065017,0.120799
BRZE,17.5900,0.754523,0.232898,0.120784,0.063772,0.189276,0.254068,0.332364,47318.93,63517.01,83091.10,-0.459601,-0.696620,-0.048442,0.136996
MKTX,180.5100,0.260230,0.232181,0.127712,0.120021,0.062621,0.082622,0.105520,15655.15,20655.51,26379.99,0.015433,-0.130805,0.300957,0.459365
LULU,182.5500,0.472404,0.229912,0.078639,0.038198,0.119546,0.161054,0.211830,29886.51,40263.60,52957.40,-0.134054,-0.610144,0.178626,0.344813
HYG,80.9200,0.019873,0.224804,0.054355,-0.037096,0.000615,0.000288,0.000065,153.71,71.91,16.37,0.008057,0.181025,0.326382,0.427672
MOO,85.0000,0.146889,-0.224413,-0.178292,-0.112137,0.031349,0.039311,0.046660,7837.32,9827.83,11665.05,0.153637,0.240810,0.485792,0.277671
VXF,217.6800,0.178070,0.218469,0.054682,-0.043217,0.039884,0.051050,0.062417,9971.01,12762.59,15604.22,0.028588,0.324546,0.332904,0.429900
BITF,2.3100,1.083605,0.216712,0.092335,0.012264,0.264960,0.352018,0.453711,66239.94,88004.54,113427.66,-0.111538,-0.358333,-0.069255,0.069255
IWO,338.8500,0.207276,0.214283,0.067797,-0.039443,0.047935,0.062193,0.077537,11983.83,15548.19,19384.30,0.035858,0.319623,0.331211,0.430803
XLU,47.3600,0.149113,-0.214125,-0.186659,-0.139198,0.031955,0.040141,0.047767,7988.78,10035.34,11941.64,0.096804,0.654915,0.487162,0.276263
IBKR,73.6500,0.444611,0.213984,0.080135,0.014028,0.112378,0.151328,0.198919,28094.38,37831.99,49729.80,0.095493,1.764500,0.206670,0.360509
PATH,9.9400,0.566647,0.213261,0.064950,0.052271,0.143410,0.193197,0.254061,35852.40,48299.29,63515.30,-0.374055,-0.586006,0.109942,0.266511
EQT,59.3800,0.359120,0.197183,0.035677,-0.014024,0.089854,0.120511,0.157542,22463.51,30127.74,39385.40,0.113868,0.662072,0.288326,0.414816
DIN,30.6900,0.372272,0.196339,0.131332,0.038207,0.093373,0.125355,0.164100,23343.36,31338.85,41024.92,-0.076159,-0.239950,0.258426,0.423636
CNX,38.7400,0.349633,0.195673,0.045537,-0.009092,0.087301,0.116988,0.152759,21825.16,29247.09,38189.63,0.062534,0.853589,0.294356,0.423742
GMED,96.2200,0.247246,0.192834,-0.044788,-0.094529,0.059012,0.077592,0.098606,14752.95,19397.97,24651.44,0.102176,0.720980,0.358343,0.402418
PALL,162.4900,0.700481,0.190892,0.124197,0.101189,0.176295,0.236957,0.310569,44073.74,59239.14,77642.28,0.090683,0.846687,-0.001106,0.171837
MDY,655.6400,0.150985,0.188380,0.014291,-0.048956,0.032466,0.040841,0.048700,8116.40,10210.29,12175.09,0.072516,0.288111,0.347352,0.416039
IJH,71.7800,0.151197,0.187660,0.010793,-0.050143,0.032524,0.040921,0.048807,8130.90,10230.18,12201.65,0.072784,0.294751,0.348174,0.415213
IWM,264.5800,0.186349,0.187385,0.053285,-0.049055,0.042162,0.054197,0.066673,10540.41,13549.22,16668.34,0.063510,0.345776,0.341364,0.421231
IWR,102.6300,0.139181,0.187233,0.027748,-0.048062,0.029253,0.036445,0.042850,7313.35,9111.16,10712.59,0.054562,0.317640,0.345628,0.417957
APG,44.7600,0.205246,0.187179,0.054740,-0.010580,0.047374,0.061415,0.076478,11843.60,15353.72,19119.41,0.148576,0.875943,0.337089,0.424984
BIRK,39.6600,0.436464,0.186334,0.109334,0.010711,0.110263,0.148453,0.195090,27565.87,37113.17,48772.53,-0.050515,-0.222353,0.215965,0.364074
NVST,29.5900,0.572614,0.185283,0.092066,0.018435,0.144900,0.195193,0.256662,36224.89,48798.19,64165.61,0.364223,0.349909,0.111631,0.255579
CRS,395.6100,0.471710,-0.184156,-0.149800,-0.100225,0.119368,0.160813,0.211510,29841.94,40203.23,52877.46,0.169939,5.225790,0.330796,0.193733
