rank,ticker,spot,vol_30d,corr_3m,corr_6m,corr_12m,put_pct_3m,put_pct_6m,put_pct_12m,hedge_cost_3m,1y_return,score_short
1,XLF,51.8700,0.194590,0.345314,0.186955,0.041258,0.044433,0.057339,0.070935,11108.22,0.332121,0.489684
2,SF,115.0300,0.322526,0.312110,0.178821,0.038114,0.079927,0.106776,0.138816,19981.87,0.564754,0.477781
3,DIA,494.8200,0.136558,0.321717,0.133324,-0.013378,0.028542,0.035473,0.041564,7135.45,0.307415,0.470901
4,MKTX,180.5100,0.260230,0.232181,0.127712,0.120021,0.062621,0.082622,0.105520,15655.15,-0.130805,0.459365
5,VUG,470.3200,0.174564,0.279049,0.093259,-0.026842,0.038921,0.049721,0.060622,9730.14,0.405200,0.452512
6,XLK,143.0100,0.247981,0.269699,0.101553,-0.011459,0.059216,0.077876,0.098996,14804.00,0.410168,0.451880
7,SPY,693.1500,0.126331,0.275441,0.079744,-0.039403,0.025776,0.031708,0.036599,6444.03,0.403754,0.448750
8,HLI,165.9900,0.312233,0.255940,0.096888,0.007095,0.077094,0.102833,0.133400,19273.50,0.304014,0.448480
9,RJF,158.3400,0.354891,0.236366,0.134841,0.030518,0.088717,0.118944,0.155415,22179.33,0.371354,0.447337
10,XLC,116.5000,0.153125,0.251038,0.062174,-0.031764,0.033050,0.041642,0.049771,8262.40,0.517541,0.440585
